team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2016,1,Greater Western Sydney,1,W,13,5,2.0,17,22,,,,2.0,1.0,1.0,7.0,3.0,1.0,1.0,2.0,15,7,1.0,,2.0,,,58,2016-03-01
Melbourne,2016,2,Essendon,2,L,13,4,2.0,10,14,1.0,,,2.0,,2.0,,1.0,,1.0,,6,8,,,1.0,,,67,2016-03-08
Melbourne,2016,3,North Melbourne,3,L,13,7,1.0,19,26,2.0,,,4.0,1.0,3.0,7.0,5.0,2.0,1.0,,13,13,,,1.0,,,65,2016-03-15
Melbourne,2016,4,Collingwood,4,W,13,3,2.0,8,11,,,,8.0,2.0,1.0,1.0,2.0,,1.0,,5,6,,,1.0,,,69,2016-03-22
Melbourne,2016,5,Gold Coast,7,W,13,4,3.0,19,23,,,,6.0,1.0,3.0,4.0,2.0,,2.0,,13,10,,1.0,1.0,,,77,2016-04-12
Melbourne,2016,6,Western Bulldogs,8,L,13,3,2.0,12,15,1.0,,,5.0,,,1.0,2.0,,,,4,11,,,,,,63,2016-04-19
Melbourne,2016,7,Brisbane Lions,9,W,13,12,3.0,9,21,,2.0,1.0,5.0,,5.0,7.0,4.0,2.0,3.0,1.0,11,10,,,,,1.0,81,2016-04-26
Melbourne,2016,8,Hawthorn,11,L,13,6,1.0,12,18,,,,3.0,1.0,1.0,4.0,,,,,9,9,,,,1.0,1.0,65,2016-05-10
Melbourne,2016,9,Collingwood,12,W,13,3,,13,16,,,1.0,8.0,,,5.0,4.0,,3.0,,10,6,,,,,,68,2016-05-17
Melbourne,2016,10,Sydney,13,L,13,4,1.0,11,15,,,,2.0,1.0,3.0,1.0,3.0,,2.0,,7,7,,,,,,62,2016-05-24
Melbourne,2016,11,Hawthorn,20,W,13,7,,16,23,,,1.0,11.0,2.0,1.0,8.0,3.0,,2.0,,11,12,,,1.0,,1.0,65,2016-07-12
Melbourne,2016,12,Port Adelaide,21,W,13,13,2.0,9,22,1.0,,,2.0,2.0,1.0,7.0,3.0,2.0,1.0,,10,10,,,1.0,,,66,2016-07-19
Melbourne,2016,13,Carlton,22,L,13,5,6.0,19,24,1.0,,,4.0,3.0,,2.0,2.0,,,,9,16,,1.0,,,,74,2016-07-26
Melbourne,2017,14,St Kilda,1,W,13,9,5.0,27,36,,,,7.0,1.0,,9.0,5.0,1.0,1.0,3.0,14,22,,,1.0,,1.0,75,2017-03-01
Melbourne,2017,15,Carlton,2,W,13,11,7.0,24,35,,,1.0,9.0,5.0,2.0,5.0,4.0,2.0,2.0,1.0,16,21,,,3.0,,,83,2017-03-08
Melbourne,2017,16,Geelong,3,L,13,8,5.0,20,28,,,,8.0,,4.0,4.0,1.0,,,,12,14,,,,,1.0,78,2017-03-15
Melbourne,2017,17,Fremantle,4,L,13,9,3.0,17,26,,,,8.0,1.0,3.0,10.0,3.0,3.0,2.0,,17,9,,,1.0,,1.0,72,2017-03-22
Melbourne,2017,18,Richmond,5,L,13,8,3.0,24,32,,,,7.0,2.0,3.0,9.0,7.0,1.0,5.0,,19,14,,,,,1.0,83,2017-03-29
Melbourne,2017,19,Essendon,6,W,13,8,5.0,25,33,,,,5.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,11,23,1.0,1.0,,,2.0,81,2017-04-05
Melbourne,2017,20,Hawthorn,7,L,13,4,1.0,24,28,,,,5.0,1.0,1.0,5.0,2.0,1.0,1.0,,14,15,,,,,1.0,74,2017-04-12
Melbourne,2017,21,Adelaide,8,W,13,9,1.0,21,30,1.0,,,10.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,15,15,,,1.0,,1.0,74,2017-04-19
Melbourne,2017,22,North Melbourne,9,L,13,8,2.0,18,26,1.0,1.0,,6.0,,5.0,4.0,3.0,,,,10,15,,,1.0,,,69,2017-04-26
Melbourne,2017,23,Gold Coast,10,W,13,7,3.0,28,35,,1.0,,3.0,3.0,2.0,11.0,5.0,1.0,2.0,,21,15,,1.0,,,,71,2017-05-03
Melbourne,2017,24,Collingwood,12,W,13,15,5.0,11,26,,,,5.0,3.0,4.0,8.0,4.0,,2.0,,16,11,,,2.0,,1.0,80,2017-05-17
Melbourne,2017,25,Western Bulldogs,13,W,13,6,1.0,23,29,,,,8.0,,4.0,5.0,5.0,1.0,2.0,,13,15,,,2.0,,2.0,81,2017-05-24
Melbourne,2017,26,West Coast,14,W,13,7,2.0,21,28,,1.0,,7.0,,2.0,8.0,5.0,1.0,5.0,,18,11,1.0,,,,2.0,74,2017-05-31
Melbourne,2017,27,Sydney,15,L,13,7,4.0,17,24,,,,6.0,2.0,3.0,3.0,2.0,,,,12,12,,,1.0,,,71,2017-06-07
Melbourne,2017,28,Carlton,16,W,13,8,2.0,21,29,,,,9.0,3.0,5.0,6.0,2.0,1.0,1.0,2.0,15,15,,,1.0,,1.0,80,2017-06-14
Melbourne,2017,29,Adelaide,17,L,13,8,2.0,19,27,1.0,,,4.0,1.0,3.0,8.0,2.0,,,,14,12,,,1.0,,,79,2017-06-21
Melbourne,2017,30,Port Adelaide,18,W,13,7,1.0,23,30,,,,10.0,,3.0,5.0,8.0,1.0,5.0,1.0,20,11,,,1.0,,,80,2017-06-28
Melbourne,2017,31,North Melbourne,19,L,13,6,3.0,27,33,1.0,,,12.0,3.0,3.0,12.0,4.0,2.0,3.0,3.0,26,11,,,2.0,,,83,2017-07-05
Melbourne,2017,32,Greater Western Sydney,20,L,13,10,1.0,22,32,,,,9.0,2.0,1.0,6.0,3.0,1.0,3.0,,19,13,,,,,,75,2017-07-12
Melbourne,2017,33,St Kilda,21,W,13,6,2.0,26,32,,,,6.0,,3.0,7.0,2.0,,2.0,,14,17,1.0,,,,,83,2017-07-19
Melbourne,2017,34,Brisbane Lions,22,W,13,8,3.0,22,30,,,,5.0,1.0,3.0,7.0,4.0,2.0,2.0,,16,14,1.0,,,,,75,2017-07-26
Melbourne,2017,35,Collingwood,23,L,13,8,7.0,22,30,,,,3.0,2.0,5.0,4.0,2.0,,,,12,19,,,2.0,,,76,2017-08-02
Melbourne,2018,36,Geelong,1,L,13,9,3.0,19,28,1.0,,,10.0,,3.0,6.0,4.0,,2.0,,14,13,,1.0,4.0,,1.0,85,2018-03-01
Melbourne,2018,37,Brisbane Lions,2,W,13,11,3.0,24,35,,1.0,,8.0,,9.0,11.0,,2.0,,,22,11,,1.0,,,1.0,81,2018-03-08
Melbourne,2018,38,North Melbourne,3,W,13,7,2.0,13,20,2.0,,,6.0,1.0,2.0,5.0,4.0,2.0,1.0,,10,9,1.0,,,,,85,2018-03-15
Melbourne,2018,39,Hawthorn,4,L,13,10,2.0,18,28,,,,11.0,2.0,4.0,5.0,9.0,1.0,4.0,,23,7,1.0,,3.0,,1.0,83,2018-03-22
Melbourne,2018,40,Richmond,5,L,13,10,6.0,21,31,,2.0,,6.0,2.0,3.0,6.0,5.0,1.0,1.0,,15,17,1.0,,,,,85,2018-03-29
Melbourne,2018,41,Essendon,6,W,13,8,2.0,11,19,,,,7.0,2.0,3.0,5.0,2.0,1.0,1.0,,13,7,,,2.0,,,83,2018-04-05
Melbourne,2018,42,St Kilda,7,W,13,8,3.0,28,36,1.0,,,4.0,3.0,5.0,11.0,7.0,2.0,2.0,3.0,20,16,,,1.0,1.0,2.0,82,2018-04-12
Melbourne,2018,43,Gold Coast,8,W,13,12,2.0,17,29,,1.0,,11.0,,6.0,11.0,2.0,4.0,1.0,,15,15,,1.0,4.0,2.0,3.0,75,2018-04-19
Melbourne,2018,44,Carlton,9,W,13,8,,18,26,1.0,,,4.0,2.0,2.0,4.0,3.0,,2.0,,15,11,,,1.0,,,76,2018-04-26
Melbourne,2018,45,Adelaide,10,W,13,8,3.0,23,31,,,,10.0,,8.0,10.0,3.0,,,,16,15,,,,,,74,2018-05-03
